buyer_id,name,state_license,address,city,state,zip,industry,type,buyer_group,buyer_type,disabled
130585,Stem,MR281327,124 Washington Street,Haverhill,39,01832,Recreational,Dispensary,Stem,Multi,False
229000,Apotho Therapeutics - Athol,MC281370,1 Exchange Street,Athol,39,01331,Recreational,Cultivator,"Apotho Therapeutics, LLC",Multi,False
130582,Apotho Therapeutics - Plainville,MR282388,119 Washington St,Plainville,39,02762,Recreational,Dispensary,"Apotho Therapeutics, LLC",Multi,False
130583,Seaside Joint Ventures Inc,MR284549,14 Lots Hollow,Orleans,39,02537,Recreational,Dispensary,Seaside Joint Ventures Inc,Multi,False
130584,Bud's Goods - Abington,MR282410,1540 Bedford Street,Abington,39,02351,Recreational,Dispensary,Bud's Goods & Provisions Corp. - Production,Multi,False
229004,Bud's Goods - Worcester,MR282319,62-68 West Boylston St.,Worcester,39,01606,Recreational,Dispensary,Bud's Goods & Provisions - Retail,Multi,False
130586,Caroline's Cannabis - Manufacturing,MP282232,4 Charlesview Rd,Hopedale,39,01747,Recreational,Dispensary,Caroline's Cannabis,Multi,False
229002,Bud's Goods - Lakeville,MP281507,475 Kenneth Welch Drive,Lakeville,39,02347,Recreational,Dispensary,Bud's Goods & Provisions - Retail,Multi,False
229003,Bud's Goods - Watertown,MR281774,330-350 Pleasant Street,Watertown,39,02472,Recreational,Dispensary,Bud's Goods & Provisions - Retail,Multi,False
130588,Cape Cod Cannabis,,1446 State Highway,Wellfleet,39,02667,Recreational,Dispensary,Cape Cod Cannabis,Multi,False
229008,Nova Farms - Framingham,MR282516,1137 Worcester Road,Framingham,39,01701,Recreational,Dispensary,Nova Farms,Multi,False
229005,Caroline's Cannabis - Hopedale,MR283694,4 Charlesview Road,Hopedale,39,01747,Recreational,Dispensary,Caroline's Cannabis,Multi,False
130587,Nova Farms - Manufacturing,MP281325,34 Extension Street,Attleboro,39,02703,Recreational,Processor,Nova Farms,Multi,False
130590,Green Meadows - Fitchburg,MR284280,50 Whalon Street,Fitchburg,39,01420,Recreational,Dispensary,Green Meadows -Retail,Multi,False
130593,South Shore Buds - (Frozen 4 Corp),MP281749,985 Plain St,Marshfield,39,02050,Recreational,Processor,South Shore Buds - (Frozen 4 Corp),Multi,False
229013,Tree House Cannabis (Groton),MRN284689,1 Forge Village Rd.,Groton,39,01450,Recreational,Dispensary,Tree House Cannabis,Multi,False
130594,Tree House Cannabis (Dracut),MR283416,61 Silva Lane,Dracut,39,01826,Recreational,Dispensary,Tree House Cannabis,Multi,False
130592,Aura Cannabis Company LLC,MR282487,320 Airport Road,Fall River,39,02720,Recreational,Dispensary,Aura Cannabis Company LLC,Multi,False
229014,Tree House Cannabis (Pepperell),MR283367,112-114 Main Street,Pepperell,39,01463,Recreational,Dispensary,Tree House Cannabis,Multi,False
130596,Blackstone Valley Cannabis,MR282267,79 River Road,Uxbridge,39,01569,Recreational,Dispensary,Blackstone Valley Cannabis,Multi,False
130597,High Plains Farms (27 Broom St),MC281723,27 Broom Street,Plainfield,39,01070,Recreational,Dispensary,High Plains Farms (27 Broom St),Multi,False
